Time(s),STD,Two,Three,Four,Five,Six,Seven
4.631,2.1372,25.61,24.432,30.461,24.498,24.356,26.018
8.71,2.1354,25.671,24.435,30.457,24.502,24.359,26.035
12.794,2.1337,25.697,24.436,30.452,24.505,24.36,26.001
16.849,2.1327,25.679,24.433,30.447,24.503,24.362,26.018
20.941,2.1286,25.716,24.425,30.398,24.506,24.361,26.032
25.021,2.069,25.705,24.569,29.533,24.781,24.526,26.055
29.102,1.9852,25.755,25.075,28.889,25.125,24.831,26.126
33.185,1.9043,25.738,25.054,28.373,25.214,24.803,25.943
37.245,1.8307,25.723,24.987,27.968,25.232,24.745,25.766
